Employer,Job_title,Company_location,Wages,Experience,description,Job_Location,Company_description,role_Responsibilities,role_Requirements,Start_date,Posting_date
IKEA,Team leader,"Amsterdam, Netherlands",70-110 000 Eur,Between 6 and 9 years,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Amsterdam, Netherlands","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Wednesday, October 04, 2023","Tuesday, August 29, 2023"
OCP,Finance Controller,Casablanca,40 k Dhs,3-5 years,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Jadida, Maroc","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","Saturday, June 10, 2023","Wednesday, May 24, 2023"
Tiktok,Team leader,"Beijing, China",,7-9,"- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Friday, January 05, 2024","Friday, December 15, 2023"
OfficeChérifien desPhosphates,HR,"Casablanca, Morocco",40 k Dhs,3-5 years,"- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Casablanca,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Saturday, March 02, 2024","Thursday, February 01, 2024"
Carrefour,Directeur,"Massy, IDF, France", 120-135k eur,10 years,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Saturday, September 23, 2023","Monday, August 14, 2023"
Tiktok,Senior Analyst,"Los Angeles, CA, US",76-80k USD,3-5 years,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Saturday, September 30, 2023","Thursday, September 21, 2023"
Salesforce,Internship Graduate Program,"SF, California, US",90k,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Paris,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","Sunday, March 10, 2024","Tuesday, January 16, 2024"
Groupe Plameraie,CDD,Casablanca,,,"- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat",Tanger,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Sunday, August 27, 2023","Tuesday, August 01, 2023"
AWS,Counsel director,"Seattle WA, USA",,15-20 years,"- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","New York, Washington, Boston","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Tuesday, September 12, 2023","Saturday, August 26, 2023"
Amazon,Analyst,"Seattle WA, USA", 30 000,1 year,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Seattle WA, USA","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo'- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat consequat.","- Lorem ipsum dolor sit amet consectetur adipiscing elit
- Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
- ut enim ad minim veniam
- Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","Monday, August 28, 2023",21-Dec-23
